id,name,utv,utch,plg,plgp,plgo,sumrg,obz,obzsumrg,plgpsumrg,plgsumrg,level,isLeaf,loaded,expanded,code,month
14,Прочие,1972941131.1,2004328484.3,1882937551.4,424141771.0,903946903.7,419130216.429,571279123.714,152148907.28499997,98.81842466041856,22.25937955920889,0,True,True,False,13.0,03.2023
15,Обслуживание долга,1819380632.0,1819380635.0,1819586728.0,559561866.6,575057806.4,559561861.788,559561861.788,0.0,99.99999914004147,30.75214020730096,0,True,True,False,14.0,03.2023
16,Погашение займов,2711191578.0,2711191578.0,2711191578.0,330836063.1,381291325.1,330836062.257,330836062.257,0.0,99.99999974519102,12.202607331092853,0,True,True,False,16.0,03.2023
1,Итого,29330118273.0,31271337992.0,30096825100.8,8972482837.2,17647276386.0,8854096493.796,12427631971.689,3573535477.8929996,98.68056205230987,29.418706006836082,0,True,True,False,,04.2023
2,Государственные услуги общего характера,1238576525.2,1350029624.1,1379140438.0,481514860.7,836221630.0,464919247.068,617344509.897,152425262.82899994,96.5534576424341,33.710797991118,0,True,True,False,1.0,04.2023
3,Оборона,1099024059.4,1212522091.6,1209791513.3,353016474.5,614469337.7,349286537.659,462113254.625,112826716.96600002,98.94340997929828,28.871630675126507,0,True,True,False,2.0,04.2023
4,"Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",1363759501.0,1563726771.1,1561365252.1,403152628.9,844270199.6,377274623.472,488133725.036,110859101.56400001,93.58108974791806,24.16312409697695,0,True,True,False,3.0,04.2023
5,Образование,6215800341.0,6286376500.2,5781995196.2,1796389871.7,4615012595.6,1789814920.156,3013370897.544,1223555977.3880002,99.6339908364225,30.95497072242967,0,True,True,False,4.0,04.2023
6,Здравоохранение,2335291942.0,2487928029.0,2466749258.9,810128640.1,1102748910.8,807885114.975,926672274.206,118787159.23099995,99.72306557083044,32.75100264285722,0,True,True,False,5.0,04.2023
7,Социальная помощь и социальное обеспечение,5312107080.4,5372707740.7,5358807483.0,1741937944.8,2083855763.3,1740982552.934,1800293821.093,59311268.15899992,99.94515350739951,32.48824591025152,0,True,True,False,6.0,04.2023
8,Жилищно-коммунальное хозяйство,1560204086.7,2009633574.5,1644171529.7,294582815.4,1447227807.4,288272546.87,768999173.642,480726626.77199996,97.8578965913434,17.532997115124537,0,True,True,False,7.0,04.2023
9,"Культура, спорт, туризм и информационное пространство",751543684.3,828028228.2,823610268.8,240903090.1,672565896.0,220114112.774,446861325.285,226747212.51100004,91.37039823052066,26.72551825934689,0,True,True,False,8.0,04.2023
10,Топливно-энергетический комплекс и недропользование,205358597.0,370289001.6,318288994.7,82681871.6,300492981.5,80144317.732,209540738.441,129396420.70900002,96.93094287914015,25.179732590986752,0,True,True,False,9.0,04.2023
11,"Сельское, водное, лесное, рыбное хозяйство, особо охраняемые природные территории, охрана окружающей среды и животного мира, земельные отношения",1060562656.2,1176933503.4,1277025511.7,376724711.9,884296116.5,360712555.975,510623993.746,149911437.77099997,95.74964014326453,28.24630774171557,0,True,True,False,10.0,04.2023
12,"Промышленность, архитектурная, градостроительная и строительная деятельность",209537558.9,255510201.0,252527660.8,19138742.0,217394994.6,18941282.345,41478156.029,22536873.684,98.9682725489481,7.500676276410507,0,True,True,False,11.0,04.2023
13,Транспорт и коммуникации,1474838899.8,1798106614.4,1635982965.5,336121707.7,1341650267.9,324203644.923,915006477.94,590802833.0170001,96.45424187013911,19.81705505252096,0,True,True,False,12.0,04.2023
14,Прочие,1972941131.1,1945455749.2,1773072572.1,509858450.6,1096065707.1,505214023.262,700862610.554,195648587.292,99.08907514771317,28.49370246947266,0,True,True,False,13.0,04.2023
15,Обслуживание долга,1819380632.0,1902646520.0,1902852613.0,744834127.9,760052016.7,744834115.152,744834115.152,0.0,99.99999828847798,39.14302716161023,0,True,True,False,14.0,04.2023
16,Погашение займов,2711191578.0,2711443843.0,2711443843.0,781496899.3,830952161.3,781496898.499,781496898.499,0.0,99.99999989750438,28.8221679573616,0,True,True,False,16.0,04.2023
1,Итого,29330118273.0,32394955071.6,30704740001.9,11808559709.5,20168837697.2,11651874614.892,15470443931.934,3818569317.042,98.67312273077684,37.94812987887533,0,True,True,False,,05.2023
2,Государственные услуги общего характера,1238576525.2,1389842392.3,1422531194.6,580763832.7,950830568.1,556320148.909,720254870.526,163934721.61699998,95.79111466405197,39.10776445682312,0,True,True,False,1.0,05.2023
3,Оборона,1099024059.4,1222762442.4,1219943925.1,518749046.4,736642324.6,484415094.302,615776400.468,131361306.16600007,93.38139465773098,39.70798036985938,0,True,True,False,2.0,05.2023
4,"Общественный порядок, безопасность, правовая, судебная, уголовно-исполнительная деятельность",1363759501.0,1584411726.4,1582158858.1,524243487.9,1006449299.9,489421938.972,625637787.588,136215848.61600006,93.35775269856242,30.933805190696358,0,True,True,False,3.0,05.2023
